ibge;nome;uf;regiao;tipo;status;cnpj_prefeitura;nota
5213103;Mineiros;GO;Centro-Oeste;polo-interior;pronta;02316537000190;
5218805;Rio Verde;GO;Centro-Oeste;polo-interior;pronta;02056729000105;
5221858;Valparaíso de Goiás;GO;Centro-Oeste;polo-interior;pronta;01616319000109;
1100205;Porto Velho;RO;Norte;capital;delegada;04273099000101;handoff SP+capitais (fila B)
1200401;Rio Branco;AC;Norte;capital;delegada;04034484000140;handoff SP+capitais (fila B)
1302603;Manaus;AM;Norte;capital;delegada;04312677000112;handoff SP+capitais (fila B)
1400100;Boa Vista;RR;Norte;capital;delegada;05943030000130;handoff SP+capitais (fila B)
1501402;Belém;PA;Norte;capital;delegada;05055009000113;handoff SP+capitais (fila B)
1600303;Macapá;AP;Norte;capital;delegada;05995766000180;handoff SP+capitais (fila B)
1721000;Palmas;TO;Norte;capital;delegada;24851511000185;handoff SP+capitais (fila B)
2111300;São Luís;MA;Nordeste;capital;delegada;06307102000130;handoff SP+capitais (fila B)
2211001;Teresina;PI;Nordeste;capital;delegada;06554869000150;handoff SP+capitais (fila B)
2304400;Fortaleza;CE;Nordeste;capital;delegada;07954605000160;handoff SP+capitais (fila B)
2408102;Natal;RN;Nordeste;capital;delegada;08241747000143;handoff SP+capitais (fila B)
2507507;João Pessoa;PB;Nordeste;capital;delegada;08778326000134;handoff SP+capitais (fila B)
2611606;Recife;PE;Nordeste;capital;delegada;10565000000192;handoff SP+capitais (fila B)
2704302;Maceió;AL;Nordeste;capital;delegada;12200135000180;handoff SP+capitais (fila B)
2800308;Aracaju;SE;Nordeste;capital;delegada;13128780000152;handoff SP+capitais (fila B)
2927408;Salvador;BA;Nordeste;capital;delegada;13927801000149;handoff SP+capitais (fila B)
4106902;Curitiba;PR;Sul;capital;delegada;76417005000186;handoff SP+capitais (fila B)
4205407;Florianópolis;SC;Sul;capital;delegada;82892508000190;handoff SP+capitais (fila B)
4314902;Porto Alegre;RS;Sul;capital;delegada;92963560000160;handoff SP+capitais (fila B)
5002704;Campo Grande;MS;Centro-Oeste;capital;delegada;03501509000106;handoff SP+capitais (fila B)
5103403;Cuiabá;MT;Centro-Oeste;capital;delegada;03507530000194;handoff SP+capitais (fila B)
5208707;Goiânia;GO;Centro-Oeste;capital;delegada;01612092000123;handoff SP+capitais (fila B)
5300108;Brasília;DF;Centro-Oeste;capital;delegada;00394601000100;handoff SP+capitais (fila B)
